.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 7 loss 0.6465797152211663 valid acc 15/16
Epoch 7 loss 1.0972989505710018 valid acc 15/16
Epoch 7 loss 0.521758431552046 valid acc 15/16
Epoch 7 loss 2.079884601680847 valid acc 14/16
Epoch 7 loss 1.6162288796893707 valid acc 14/16
Epoch 7 loss 1.056172256158902 valid acc 15/16
Epoch 7 loss 1.3414339772803519 valid acc 15/16
Epoch 7 loss 1.3741443656110601 valid acc 15/16
Epoch 7 loss 0.5516316202220152 valid acc 15/16
Epoch 7 loss 1.66339155020629 valid acc 15/16
Epoch 8 loss 0.002865043782838289 valid acc 15/16
Epoch 8 loss 1.435693669626418 valid acc 15/16
Epoch 8 loss 0.93892627937331 valid acc 15/16
Epoch 8 loss 0.6696440205612897 valid acc 15/16
Epoch 8 loss 0.4000454516759389 valid acc 15/16
Epoch 8 loss 0.4945783643480981 valid acc 13/16
Epoch 8 loss 0.8811729897302091 valid acc 15/16
Epoch 8 loss 1.156986513697269 valid acc 13/16
Epoch 8 loss 0.5266577199931927 valid acc 14/16
Epoch 8 loss 0.6008699451568842 valid acc 14/16
Epoch 8 loss 0.44676659130174856 valid acc 14/16
Epoch 8 loss 1.2227533762902127 valid acc 13/16
Epoch 8 loss 1.067934053798797 valid acc 15/16
Epoch 8 loss 1.5328355098736006 valid acc 14/16
Epoch 8 loss 1.645103669886118 valid acc 15/16
Epoch 8 loss 0.9725973476220167 valid acc 15/16
Epoch 8 loss 2.518070448379999 valid acc 14/16
Epoch 8 loss 0.87024556811096 valid acc 14/16
Epoch 8 loss 1.5558881694305318 valid acc 13/16
Epoch 8 loss 1.267531060888761 valid acc 13/16
Epoch 8 loss 0.9927998353801153 valid acc 15/16
Epoch 8 loss 0.7205375656151671 valid acc 15/16
Epoch 8 loss 0.42571120835067616 valid acc 15/16
Epoch 8 loss 1.6664750083235391 valid acc 14/16
Epoch 8 loss 0.6794834245416888 valid acc 15/16
Epoch 8 loss 1.1399967261035306 valid acc 15/16
Epoch 8 loss 0.593991219016232 valid acc 15/16
Epoch 8 loss 0.7341705919851209 valid acc 15/16
Epoch 8 loss 1.2921744634459427 valid acc 14/16
Epoch 8 loss 0.48304403841887794 valid acc 13/16
Epoch 8 loss 1.5969986572817172 valid acc 14/16
Epoch 8 loss 1.539791933120381 valid acc 14/16
Epoch 8 loss 0.6130050188376855 valid acc 14/16
Epoch 8 loss 0.6109780750056956 valid acc 14/16
Epoch 8 loss 1.6693149603630268 valid acc 14/16
Epoch 8 loss 1.1839730631745353 valid acc 14/16
Epoch 8 loss 2.2350488816823946 valid acc 12/16
Epoch 8 loss 1.1793958541395586 valid acc 13/16
Epoch 8 loss 0.8472976329566108 valid acc 15/16
